omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
0,0,0.2748084792407911,2.051782733344162,1.9589957573921177,0.024502003314849693,0.002241714230544439,0.1720644672466597,1,9.530026764921333,10.0
0,0,1.682570213196754,1.367243162268732,3.6566031577667326,0.039534129777089505,0.013251652245721411,0.14999314121355037,1,8.391635059806571,10.0
0,0,4.546694645084968,1.8637343880950628,1.7876045901394746,0.019857674433923795,0.019825274967039116,0.15104484588067674,1,3.1581506721343877,10.0
0.3685993018987788,-0.013016590385104077,4.980239745690485,1.985067269746684,0.8888199137766324,0.019729663277362457,0.004047391487886131,0.02269915007917364,1,5.354334113282345,10.0
0,0,6.700925937474346,3.3767150488446194,0.9867609262433659,0.012488103912282056,0.014595488029277402,0.0634900680354658,1,6.492226955640427,10.0
0,0,5.164042539340784,4.342153151685661,3.1920305437965735,0.010142577682498728,0.012383020160140536,0.16855782811530043,1,9.092030610624787,10.0
0,0,0.13812172485707772,4.561421847986551,4.269966889773301,0.008065688607583044,0.0038291167589922983,0.1891737549404953,1,2.136427224301789,10.0
4.724831580329205,0.15340130069456503,4.525686843334858,2.9205332657076166,3.70468155367387,0.0206731063794588,0.004507502046953129,0.18070679866833872,1,5.617513221729632,10.0
2.891970786060814,-0.04618417345789369,7.827842080243368,3.599941740794545,1.325954789180471,0.04677701152939525,0.0018284347396017066,0.04734814300439459,1,0.04653063564674875,10.0
0,0,5.576618603832398,1.2489469305272305,2.693726644302053,0.03674615349425287,0.004728965864716741,0.17324021874975026,1,3.17887290866697,10.0
0,0,1.437768547909576,1.2304090313505895,4.665663458846041,0.007142270937526585,0.017429682526504876,0.18570543365313893,1,3.0391407728152444,10.0
2.437098027970777,0.047309632325698146,1.2451124212931268,3.317989564695168,4.168701666705219,0.03405256485009045,0.015665263318989972,0.031745155098092476,1,9.805454347543167,10.0
5.278604354554361,0.2557998245217258,2.119173628117138,2.0152719387917393,3.6531058956691806,0.029224063448345668,0.005588555024771829,0.03388018468758298,1,0.12015015619945002,10.0
0,0,3.8385244096994384,2.207324882788108,4.422854555491355,0.03378437920585214,0.012635843385204976,0.08376124890896057,1,0.3677823399626601,10.0
0,0,1.592664628101485,1.0497061969141361,4.3349689047267495,0.04726086751603927,0.009491323978353117,0.12860469522579132,1,8.089779090913847,10.0
0.3452187263198976,-0.0023907088074932143,3.785756171234337,3.415208422247362,0.6785599217779829,0.04503249080160429,0.006282659128809735,0.09514287261060962,1,3.83271169255191,10.0
2.569265055735328,0.06571324048644041,2.0904574543902417,3.8019515049915014,2.771071985798125,0.028095515522611077,0.015205920343467162,0.15600462491098904,1,8.314423423399095,10.0
0,0,9.924610707366275,1.229658295582548,4.821966863975366,0.025501045921077246,0.011504703017363989,0.055603019667272165,1,1.8542124885059763,10.0
0,0,9.977862712894826,2.319493896018882,3.960200971990864,0.002888248547129036,0.013292926460422636,0.1700951819233163,1,7.501785420573058,10.0
0,0,5.33431650602435,1.003331141787426,0.7264326452260268,0.013353754949230745,0.013080093179981538,0.1721330258382861,1,9.988420653211659,10.0
0,0,6.290012957077926,3.034783622566382,4.093604083225699,0.017395015870049418,0.006132244893422496,0.10667027815936166,1,7.417827000242938,10.0
0,0,2.267508992060947,4.735392409976313,4.309239959699545,0.0381523092792117,0.004951745864216461,0.18209546276353666,1,7.3735419149223045,10.0
0,0,2.1169326723051958,2.575653748656494,4.744022872438824,0.001958507778064664,0.007813824485968585,0.18477479646241204,1,1.9660322761207716,10.0
0,0,9.494145139104136,3.67265743882036,1.3941632300994375,0.007212536861291482,0.011364518663649547,0.1773924691409612,1,2.081168375729,10.0
0,0,6.0646939026351045,3.395834647964213,4.94327294552153,0.02973248296902407,0.009773313621868784,0.12197782148911757,1,8.493057733520862,10.0
5.433099344666555,0.305200444546174,3.9184819581992913,3.36431870142032,3.914671376970426,0.025544147926020784,0.004823219250815608,0.19779227004112004,1,4.45143544919289,10.0
0,0,3.98386312179719,2.294434849319796,3.4223739700533233,0.004070004361124247,0.016072647543740104,0.05850584858870882,1,9.181961060682148,10.0
0,0,5.086919279102726,1.7689833812435958,4.967343825514892,0.011309616466989584,0.0038938095050662317,0.02010825518300595,1,4.319030809463966,10.0
0,0,0.2451218273801265,2.0485186421044403,2.88699171995993,0.0011838691398713406,0.00891251168267831,0.18771768129172553,1,4.437424288239646,10.0
0,0,2.965642480795592,2.6926996977397306,3.0062557715214115,0.004844034318293262,0.010572911392388498,0.05702055147667596,1,9.77444011341535,10.0
3.9023010999372505,0.27167852577107854,1.4906548787080744,3.524007324107494,4.054020043355272,0.03364578945622764,0.017477921450724694,0.18473391159766603,1,6.848470007865666,10.0
0,0,5.243289951796406,3.202927336923961,1.8948568618492816,0.0025692455100645864,0.004911997220697543,0.10030164108656454,1,3.915345711215682,10.0
5.93299857325737,0.177750694040116,5.275579963163291,3.9582110981086083,3.6541634467171207,0.018451933355737842,0.0006706128401187512,0.1566338671829544,1,1.4088544769610234,10.0
