omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
0.0,0.0,3.0328308201655876,1.4905579779736589,4.7377140056202105,0.01324683757319961,0.034635211950700386,0.07259556713493336,1,0.0,10.0
0.0,0.0,5.116475479031465,2.620365974347382,3.4284702330418537,0.766987840437996,0.009160128353134248,0.1806623882167699,1,0.0,10.0
0.0,0.0,0.03705585904209861,4.5312864935314465,1.6655142174405464,0.025184893228948124,0.003306505410715919,0.027728250840040096,1,0.0,10.0
0.0,0.0,0.24976970101596224,3.904675051607011,1.6975817607531103,0.8679482850487058,0.01975078114821584,0.2088970308781076,1,0.0,10.0
0.0,0.0,0.031049113500505255,1.9668925569051052,2.550721025627524,0.005070730241292927,0.003666433480639699,0.23615076899036752,1,0.0,10.0
0.0,0.0,3.113503261046008,2.203974949345599,1.7919743934815748,0.27973362576037264,0.07165569923962722,0.2763652960506946,1,0.0,10.0
0.0,0.0,0.049907959844324355,3.067778855326184,3.560906875738735,0.002625076198090143,0.0014443827087921217,0.2790166309671118,1,0.0,10.0
0.0,0.0,0.012534580706566299,3.0517373292236987,1.059737882613077,0.006395589606316486,0.00135899478224679,0.015064509162437581,1,0.0,10.0
0.0,0.0,0.16547099264003,3.0903659311233427,0.7026655956235548,0.016174128236432772,0.03918656631289201,0.18721447096381216,1,0.0,10.0
0.0,0.0,1.9639449623086547,1.8548759239917492,3.158030530901349,0.003394322283922099,0.06802967389649775,0.04253351228881219,1,0.0,10.0
0.0,0.0,0.2702359815918434,2.702092997422387,2.7038938831139054,0.11844244140315281,0.000800427319419412,0.18567324421180223,1,0.0,10.0
0.0,0.0,0.08390587664365595,1.3408802621592844,2.9419933856783036,0.335932966658329,0.03195499072304093,0.22676474610855152,1,0.0,10.0
0.0,0.0,8.355880092981202,3.9768398874052564,1.4446973098496874,0.006268732211262005,0.0018236341907120921,0.05411296886573761,1,0.0,10.0
2.0535210029224027,0.1064884527462713,0.8367433302103008,3.8054600095740314,1.297250229273263,0.26070034996161884,0.010806893582454537,0.09776890928001494,1,0.0,10.0
0.0,0.0,0.2639624521570015,1.9894460532224194,1.7912086149312356,0.021484893899790705,0.034342810498439305,0.050683721048811095,1,0.0,10.0
0.0,0.0,0.012439687799583798,2.248836042610547,0.9705118550922971,0.003227385809271237,0.0015556071205626635,0.11370865235152161,1,0.0,10.0
0.0,0.0,0.039405746208593405,3.02683953110496,4.561373063437269,0.005223622660088885,0.018193436733009424,0.1139131522771559,1,0.0,10.0
1.6750559789492572,0.06337724768856401,0.745567981162441,4.134626820245359,0.7939488569651965,0.4861481941618457,0.03421566233784683,0.1929589233856552,1,0.0,10.0
0.0,0.0,5.459762073728653,4.305154263823715,3.4090954910959845,0.19871462110558444,0.0006565303004029016,0.2635205968527382,1,0.0,10.0
0.0,0.0,0.04901951803445349,4.106102366281476,3.2972132083630745,0.017487360877020113,0.07811982798543991,0.14873577741093116,1,0.0,10.0
0.0,0.0,0.194101460351432,1.8084165718635226,2.5771211450919407,0.027418507101288535,0.05129100688010292,0.21943235253420168,1,0.0,10.0
4.9637969150755765,0.10626889676068761,0.05524261487105359,4.6916810292442666,4.989652339046851,0.00306865945264625,0.005786051655899544,0.2649204654829219,1,0.0,10.0
0.0,0.0,0.053477711904832144,3.4910539219344052,1.7056924482584475,0.0014551785742140777,0.014486402896040158,0.12500200567045575,1,0.0,10.0
