time,n,m,rho_tor,omega_plasma_kHz,omega_lab_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
3259,3,16,0.974507695,0,7.574400928,0,14.5165858,0.628104611,42.58049791,50.15489884,2.996804518,5.678788379,1.149279858,1.933230892,0.007011434,0.000981055,0.03603436,1,-0.317222936,9.59617484
3259,6,32,0.974507695,0,15.14880186,0,29.0331716,1.256209221,85.16099582,100.3097977,5.993609036,2.839394189,1.149279858,1.933230892,0.007011434,0.000981055,0.072068719,1,-0.317222936,9.59617484
3259,1,5,0.946739624,0,0.760484593,-1.334494744,0.308424857,0.013344947,4.014435684,4.774920277,0.282534953,7.815659265,1.149279858,12.01592786,0.289555095,0.002427399,0.016348126,1,-13.00614037,9.59617484
3259,2,10,0.946739624,0,1.520969186,-2.668989489,0.616849713,0.026689895,8.028871368,9.549840554,0.565069907,3.907829633,1.149279858,12.01592786,0.289555095,0.002427399,0.032696251,1,-13.00614037,9.59617484
3259,2,11,0.982143915,0,4.307164018,-40.3046275,9.315097726,0.403046275,24.90673926,29.21390327,1.752929919,12.11949541,1.149279858,1.673803323,0.01041082,0.000521497,0.02006837,1,3.172229359,9.59617484
3259,3,17,0.987003327,0,5.325793317,-46.61200004,10.7728408,0.46612,29.69335582,35.01914913,2.089810764,10.33748346,1.149279858,1.756316218,0.015658467,0.000330981,0.026831913,1,5.39278991,9.59617484
3259,4,21,0.966177274,0,10.07621339,-50.11069469,11.58144975,0.501106947,46.53781427,56.61402766,3.275319428,3.053345304,1.149279858,3.018306453,0.012261734,0.001570936,0.056161221,1,-4.123898166,9.59617484
3259,4,22,0.982143915,0,8.614328037,-80.60925499,18.63019545,0.80609255,49.81347851,58.42780655,3.505859837,6.059747704,1.149279858,1.673803323,0.01041082,0.000521497,0.040136741,1,3.172229359,9.59617484
3259,5,28,0.984920722,0,9.753957883,-88.41883414,20.4351245,0.884188341,55.21459528,64.96855316,3.885989049,5.567815716,1.149279858,1.701945627,0.012841303,0.000402765,0.046932574,1,4.441121102,9.59617484
3259,9,49,0.980061309,0,20.53874528,-192.6126004,44.51610913,1.926126004,119.8319155,140.3706608,8.433739467,2.436883812,1.149279858,1.691877566,0.009001663,0.000628704,0.094981812,1,2.220560551,9.59617484
