omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
0.6723996238446521,0.006794957186728779,1.0,1.0,0.5,0.02,0.0005,0.01,1,1.7999999999999998,10.0
0.9782286372364095,0.0006397816082413341,1.0,1.0,0.5,0.02,0.0005,0.01,1,1.2,10.0
0.9786982813493145,0.0019471604731428373,1.0,1.0,0.5,0.02,0.0005,0.01,1,0.8999999999999999,10.0
1.2938418881217355,-0.016206018573812694,1.0,1.0,0.5,0.02,0.0005,0.01,1,0.0,10.0
1.2818576622854267,-0.019132272024377457,1.0,1.0,0.5,0.02,0.0005,0.02,1,0.0,10.0
0.979217635227624,0.0034873710114439885,1.0,1.0,0.5,0.02,0.0005,0.01,1,0.3,10.0
0.9777619018640249,0.0022585616591463457,1.0,1.0,0.5,0.02,0.0005,0.02,1,0.8999999999999999,10.0
0.9790250705679203,0.0029039523897894416,1.0,1.0,0.5,0.02,0.0005,0.01,1,0.6,10.0
0.9776043632094753,-0.0009873527419383622,1.0,1.0,0.5,0.02,0.0005,0.01,1,1.5,10.0
1.2799275387022129,-0.015090933040125366,1.0,1.0,0.5,0.02,0.0005,0.02,1,0.3,10.0
0.9780901557639566,0.0032271006045628296,1.0,1.0,0.5,0.02,0.0005,0.02,1,0.6,10.0
1.2649592901431184,-0.02497581516175078,1.0,1.0,0.5,0.02,0.0005,0.03,1,0.0,10.0
0.9757287344354216,0.0014243766756692543,1.0,1.0,0.5,0.02,0.0005,0.03,1,1.2,10.0
0.9766630497132773,-0.000712249405322676,1.0,1.0,0.5,0.02,0.0005,0.02,1,1.5,10.0
1.024031679174689,-0.009475963951560418,1.0,1.0,0.5,0.02,0.0005,0.03,1,0.3,10.0
0.9772901525092542,0.0009350682673878583,1.0,1.0,0.5,0.02,0.0005,0.02,1,1.2,10.0
0.9758658805890027,-0.0026450775529379277,1.0,1.0,0.5,0.02,0.0005,0.02,1,1.7999999999999998,10.0
0.976533423543253,0.003762406902638369,1.0,1.0,0.5,0.02,0.0005,0.03,1,0.6,10.0
0.9735483486660749,0.0021035208898164304,1.0,1.0,0.5,0.02,0.0005,0.04,1,1.2,10.0
0.4721770956037517,0.01722472581917713,1.0,1.0,0.5,0.02,0.0005,0.03,1,0.8999999999999999,10.0
1.3876278467846275,-0.03415807990321621,1.0,1.0,0.5,0.02,0.0005,0.04,1,0.0,10.0
1.3864698910463875,-0.03431314928166682,1.0,1.0,0.5,0.02,0.0005,0.04,1,0.3,10.0
0.9743570956862119,0.004504986493112805,1.0,1.0,0.5,0.02,0.0005,0.04,1,0.6,10.0
0.9742960254727895,-0.002228492705267567,1.0,1.0,0.5,0.02,0.0005,0.03,1,1.7999999999999998,10.0
0.9750978979643304,-0.00025627517766488924,1.0,1.0,0.5,0.02,0.0005,0.03,1,1.5,10.0
0.9740252641195024,0.0034903169344343717,1.0,1.0,0.5,0.02,0.0005,0.04,1,0.8999999999999999,10.0
0.9729142258715898,0.0003768803365394743,1.0,1.0,0.5,0.02,0.0005,0.04,1,1.5,10.0
0.9701190425748956,0.00118222371590202,1.0,1.0,0.5,0.02,0.0005,0.05,1,1.5,10.0
1.313035576202892,-0.03302688414900909,1.0,1.0,0.5,0.02,0.0005,0.05,1,0.0,10.0
1.3849127756564554,-0.042694872890417304,1.0,1.0,0.5,0.02,0.0005,0.05,1,0.3,10.0
0.9715643473007549,0.005448052743999124,1.0,1.0,0.5,0.02,0.0005,0.05,1,0.6,10.0
0.972107668682002,-0.0016499830223475516,1.0,1.0,0.5,0.02,0.0005,0.04,1,1.7999999999999998,10.0
