omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
2.699962174,0.287467586,0.182400533,3.032899982,0.651825545,0.010488227,0.000529729,0.053126145,1,6.927049968,10
2.55983194,0.161630072,0.121006383,3.174019715,2.681933064,0.784132472,0.070227296,0.060284099,1,1.783094319,10
2.700821632,0.112636455,0.693879614,4.092515645,3.916563463,0.461600666,0.066602932,0.090821324,1,5.774693453,10
2.389474204,0.034954601,0.660666062,4.035108494,2.261372926,0.040119946,0.000967625,0.047539852,1,4.779234965,10
2.141716859,0.00687849,0.021073291,4.52694122,2.651223063,0.535516526,0.006822625,0.299596153,1,1.067877391,10
2.264378074,0.146032799,0.919806278,2.238463402,2.30366521,0.521641022,0.070450926,0.266578936,1,3.817675807,10
3.066556614,0.004613667,3.401364427,1.758978957,2.418813553,0.036800743,0.001247204,0.11864653,1,4.05820692,10
2.284034776,0.063372655,0.019653022,4.977127739,4.284811486,0.627306443,0.056964747,0.074505048,1,6.404616524,10
1.93121275,0.051392634,0.061063062,4.640051506,3.403854423,0.701107444,0.058463169,0.030998749,1,7.62258293,10
2.064054645,0.068459812,0.14381884,1.216144879,2.076805633,0.57859708,0.029279786,0.253926662,1,1.993862751,10
2.094084325,0.100054841,0.199953998,2.771618154,3.370635963,0.531462403,0.06193927,0.287984275,1,5.93983847,10
3.315094069,0.029624043,0.601835703,2.797925866,2.416809906,0.010146135,0.000586459,0.067472249,1,0.601854264,10
2.781815454,0.020506662,0.025605947,4.156387227,3.229363602,0.942969074,0.003447857,0.056219485,1,0.849940689,10
1.889839494,0.018461778,0.358719905,4.724063901,4.940646075,0.43678129,0.005270844,0.123276253,1,9.234369339,10
4.835443366,0.140319616,1.397058273,4.449718268,4.387846456,0.089845297,0.002088575,0.085383293,1,2.217100153,10
1.755924639,0.083660822,0.589898209,2.038665821,4.104763459,0.232775192,0.013393741,0.126671209,1,8.864269488,10
1.92391664,0.020165447,0.019383346,3.019418936,2.673431031,0.236830397,0.00636847,0.279703484,1,4.880229756,10
1.664962079,0.037828357,1.786591249,1.358999356,4.172006261,0.34846103,0.006218411,0.112005393,1,9.894080384,10
0,0,0.274374556,4.088126923,3.392589263,0.390264579,0.038609456,0.226565489,1,8.634045661,10
0,0,0.104520606,2.720381256,1.711846963,0.008133754,0.000748731,0.279009476,1,7.158291431,10
0,0,0.447780427,3.459249229,3.536283829,0.02439713,0.001009525,0.184552151,1,9.440622955,10
0,0,2.520229809,4.695806746,4.657210828,0.287372922,0.018870936,0.226840444,1,5.618956811,10
0,0,0.040847089,1.423176453,3.437508361,0.208993131,0.017558859,0.159678962,1,8.869251988,10
0,0,5.088275961,1.630250454,2.53436074,0.164104886,0.014242838,0.278661509,1,7.460902837,10
0,0,4.722450525,1.471220378,1.63095018,0.055318996,0.003424188,0.264649355,1,5.142147665,10
0,0,1.575504841,1.421893416,2.990031943,0.036245653,0.002312247,0.245125229,1,5.05978886,10
0,0,0.120007371,1.005667249,4.826646089,0.042107789,0.002203397,0.063009336,1,8.693858557,10
0,0,3.005714973,1.550765539,4.522260433,0.035111917,0.000538788,0.165223143,1,2.655504371,10
0,0,0.461600666,1.511173133,2.711743512,0.18972642,0.018193437,0.101895524,1,4.944348591,10
0,0,4.667312786,1.569000466,2.863484292,0.165128404,0.001515737,0.168580534,1,3.650678863,10
0,0,0.111687559,4.390162276,4.169654509,0.047980869,0.001735026,0.195579676,1,9.504952062,10
0,0,3.649692084,4.842261998,4.672737977,0.02893651,0.001913724,0.017074395,1,8.247476389,10
3.499017866,0.063279927,9.673832421,4.067995377,2.390667207,0.622127484,0.022145806,0.065402755,1,3.192233956,10
0,0,7.059677767,3.292086903,2.130473692,0.174029977,0.01135279,0.292499134,1,3.182211838,10
0,0,0.495643616,4.061756365,2.957665769,0.037107094,0.003479055,0.29138549,1,2.336006946,10
0,0,0.987641795,3.39971831,2.320162976,0.343442143,0.001371292,0.144170287,1,0.006308389,10
0,0,1.911736988,2.062320297,2.344968043,0.035428677,0.001003126,0.200637737,1,1.302261006,10
0,0,0.264510091,4.044322538,1.061028026,0.051377276,0.006946656,0.178924802,1,3.500660896,10
0,0,0.808892463,2.724434742,3.938032762,0.036195607,0.002518167,0.284241246,1,3.515345636,10
0,0,0.027437456,4.14942951,4.788854882,0.532933066,0.092017455,0.121717964,1,2.80119238,10
0,0,0.764871289,2.922128779,4.699013204,0.780888917,0.004893983,0.197937923,1,2.231609585,10
1.471739347,0.022955411,1.291252279,2.29153793,1.239220484,0.17354973,0.015676508,0.246023448,1,6.01989398,10
0,0,1.278823714,3.799414703,3.351150325,0.176817299,0.023952461,0.168789336,1,2.86702307,10
0,0,0.377796322,1.278596038,2.655817329,0.013951293,0.000758314,0.170876711,1,6.547304532,10
0,0,0.741971184,3.474411254,3.763731205,0.127001948,0.016208666,0.208275024,1,6.594463285,10
0,0,2.449846727,1.568537121,0.606407102,0.098627812,0.019635994,0.290875975,1,4.698240724,10
0,0,0.044439051,3.822569652,3.863195164,0.038437796,0.002913192,0.201873477,1,8.848155887,10
0,0,1.76695188,1.751411414,4.913967634,0.068152744,0.005420968,0.265901745,1,4.799702355,10
0,0,4.824678145,2.056718613,4.175173643,0.194907694,0.029171383,0.209661955,1,7.35569575,10
0,0,9.693902557,1.312234146,4.304280707,0.044224666,0.003245748,0.275212904,1,4.097735371,10
0,0,0.355758361,2.636270529,4.179382916,0.022973974,0.000724149,0.072615443,1,2.636823424,10
0,0,0.086078262,4.009070766,1.212182715,0.064000095,0.003547938,0.172680265,1,6.014018856,10
1.363179044,0.011028728,0.020986122,3.403100281,3.373673944,0.167194629,0.006570714,0.21268486,1,8.314785436,10
