omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
4.313043208404733,0.09254592962779624,9.0,1.5,2.9000000000000004,0.06,0.001,0.04,1,1.5,10.0
5.525379543646976,0.14693710659833784,8.0,1.0,4.5,0.08,0.0015,0.08,1,0.30000000000000004,10.0
2.547415731995236,0.03791797669951474,9.0,1.0,1.3,0.02,0.001,0.01,1,1.3,10.0
3.2679636348483605,0.017257130946443305,2.0,1.0,2.9000000000000004,0.06,0.002,0.05,1,1.5,10.0
0.0,0.0,7.0,2.0,0.5,0.02,0.002,0.02,1,0.30000000000000004,10.0
4.993283881843265,-0.11109780077981053,2.0,1.0,4.5,0.02,0.0005,0.09,1,1.4000000000000001,10.0
2.466839508752569,-0.04250250248126134,1.0,1.0,2.1,0.06,0.0015,0.060000000000000005,1,1.3,10.0
1.5053951192126644,-0.00014418879205180873,2.0,1.5,0.5,0.02,0.001,0.06999999999999999,1,0.1,10.0
1.4276055479683387,-0.008380293575537164,2.0,1.5,0.5,0.08,0.0025,0.060000000000000005,1,1.7000000000000002,10.0
3.7797579813180286,0.1343615390029313,5.0,1.0,2.9000000000000004,0.06,0.0015,0.04,1,0.7000000000000001,10.0
3.8716535119666475,0.14634999513471594,5.0,1.5,2.9000000000000004,0.08,0.0015,0.05,1,1.4000000000000001,10.0
3.359716230539337,0.1428563398824138,4.0,1.5,2.1,0.02,0.001,0.01,1,0.4,10.0
5.868704694975218,0.1966275995325804,6.0,1.5,4.5,0.04,0.001,0.08,1,1.2000000000000002,10.0
3.3251734893463922,0.012911796342476066,2.0,1.0,2.9000000000000004,0.06,0.0015,0.060000000000000005,1,0.5,10.0
3.5512673129803516,0.055697469092055266,2.0,2.0,2.9000000000000004,0.06,0.0025,0.09,1,1.8,10.0
2.319670487733163,0.0387324925197932,5.0,1.0,1.3,0.04,0.002,0.06999999999999999,1,1.4000000000000001,10.0
4.073331141637879,0.061591867147171464,2.0,1.5,3.7,0.06,0.0015,0.03,1,1.5,10.0
2.1216579812806167,0.031014980319889307,2.0,1.0,1.3,0.04,0.0025,0.08,1,0.0,10.0
2.191041581603114,0.0736543702567857,2.0,2.0,1.3,0.08,0.0025,0.060000000000000005,1,0.9,10.0
4.071630114963695,0.11094941179606702,9.0,1.0,2.9000000000000004,0.06,0.002,0.04,1,1.4000000000000001,10.0
4.899802072595709,0.27761120829277364,3.0,2.0,3.7,0.02,0.0005,0.02,1,1.5,10.0
4.373496206878874,0.09415413384082073,6.0,2.0,2.9000000000000004,0.04,0.0005,0.04,1,1.2000000000000002,10.0
3.389862742385941,0.07680830965099333,7.0,1.5,2.1,0.06,0.002,0.060000000000000005,1,0.30000000000000004,10.0
3.7643904441541154,0.10665277477536982,5.0,1.0,2.9000000000000004,0.06,0.002,0.060000000000000005,1,1.1,10.0
1.5291362448965933,0.0008621460984721036,5.0,1.0,0.5,0.06,0.0025,0.03,1,0.0,10.0
3.9785010893845563,-0.08708276464276425,2.0,1.0,3.7,0.06,0.002,0.08,1,0.5,10.0
2.8247719994294105,0.08364881251182243,2.0,1.5,2.1,0.04,0.0015,0.02,1,1.8,10.0
4.305828175631618,-0.037340627245624,2.0,1.5,3.7,0.04,0.0015,0.08,1,1.2000000000000002,10.0
3.7302342701578857,0.02710174078178583,4.0,1.0,2.9000000000000004,0.04,0.002,0.08,1,1.7000000000000002,10.0
0.0,0.0,6.0,2.0,0.5,0.02,0.0025,0.04,1,1.2000000000000002,10.0
1.9722071893218152,-0.0017706274127672855,1.0,1.0,1.3,0.04,0.0025,0.05,1,0.5,10.0
4.927034760433216,0.13694197440746864,8.0,1.5,3.7,0.08,0.0015,0.06999999999999999,1,1.8,10.0
5.399196722617349,0.20709682656195444,8.0,2.0,3.7,0.06,0.001,0.04,1,0.1,10.0
5.540365200237857,0.018694639153472716,8.0,1.5,3.7,0.04,0.0025,0.06999999999999999,1,0.6000000000000001,10.0
1.3693189428677701,-0.001755192076150047,1.0,2.0,0.5,0.08,0.002,0.03,1,1.9000000000000001,10.0
5.0444994305089415,0.10354526228811686,9.0,1.0,3.7,0.04,0.0015,0.06999999999999999,1,1.5,10.0
4.041942306829163,0.024840741835866834,2.0,1.5,3.7,0.08,0.001,0.060000000000000005,1,0.1,10.0
3.7841166823605508,-0.4703169332486334,9.0,1.0,2.1,0.02,0.0015,0.02,1,1.2000000000000002,10.0
6.251642428078651,0.32817385075091265,5.0,1.5,4.5,0.02,0.001,0.05,1,0.1,10.0
2.5031252229820384,-0.005300782603198141,9.0,1.5,1.3,0.08,0.0025,0.04,1,1.6,10.0
4.851968689821455,0.14731594899103737,7.0,1.5,2.9000000000000004,0.02,0.002,0.09,1,0.2,10.0
4.572114432008364,0.09731539862993804,7.0,1.0,2.9000000000000004,0.02,0.002,0.06999999999999999,1,0.6000000000000001,10.0
1.6551910325122143,-0.09081816445267056,6.0,2.0,0.5,0.04,0.001,0.03,1,0.8,10.0
2.672040874938025,0.04836363854195852,8.0,1.5,1.3,0.02,0.001,0.02,1,0.4,10.0
1.4895429235111688,-0.0005500050128627614,3.0,2.0,0.5,0.08,0.0025,0.01,1,1.9000000000000001,10.0
3.3208810120546635,0.11610273973632868,5.0,2.0,2.1,0.06,0.002,0.04,1,1.1,10.0
3.06261543143928,0.06405512985795593,2.0,1.5,2.1,0.02,0.001,0.060000000000000005,1,0.7000000000000001,10.0
4.396146285399645,-0.017348897222695933,8.0,2.0,2.9000000000000004,0.08,0.001,0.06999999999999999,1,1.3,10.0
4.588342562521711,-0.40266785711583725,9.0,2.0,2.9000000000000004,0.08,0.0005,0.08,1,0.8,10.0
2.9237295702419184,0.08287152277654443,3.0,1.0,2.1,0.04,0.001,0.03,1,0.0,10.0
2.338761097129129,0.06755535217878685,4.0,1.5,1.3,0.04,0.0025,0.02,1,1.6,10.0
6.119745037565487,0.25713769385905444,6.0,2.0,4.5,0.04,0.001,0.06999999999999999,1,1.3,10.0
5.5454644793281345,0.0460906552982625,8.0,2.0,3.7,0.04,0.0005,0.08,1,0.5,10.0
5.41102331210216,0.2985852947803288,4.0,1.5,3.7,0.02,0.0025,0.05,1,1.5,10.0
3.1542959944861186,0.042896212940434164,4.0,1.0,2.1,0.02,0.0015,0.04,1,1.7000000000000002,10.0
4.1599019315852015,0.02480807942708841,9.0,1.0,2.9000000000000004,0.06,0.001,0.08,1,0.4,10.0
5.8343287153178895,0.22898950544965818,9.0,1.0,4.5,0.04,0.001,0.02,1,1.4000000000000001,10.0
4.030561963190558,0.1255374819134973,7.0,1.0,2.9000000000000004,0.04,0.0015,0.01,1,1.5,10.0
0.0,0.0,9.0,1.5,0.5,0.02,0.0015,0.04,1,0.4,10.0
0.9867476987231908,-0.028163314331168608,5.0,1.0,0.5,0.06,0.001,0.03,1,0.30000000000000004,10.0
3.945072544970213,0.15807563303555522,4.0,2.0,2.9000000000000004,0.06,0.002,0.04,1,1.7000000000000002,10.0
2.439581817724751,0.02562583305834939,8.0,1.0,1.3,0.06,0.002,0.04,1,0.30000000000000004,10.0
4.728081157361015,0.19789776966096212,8.0,1.0,3.7,0.08,0.0015,0.02,1,0.8,10.0
2.9960736188844015,0.06491735683448883,2.0,2.0,2.1,0.04,0.0025,0.01,1,1.2000000000000002,10.0
4.084806258283322,0.011676073021500514,8.0,1.0,2.9000000000000004,0.06,0.001,0.09,1,0.5,10.0
1.4403604764745888,0.012600422623312445,2.0,1.0,0.5,0.04,0.0015,0.03,1,0.30000000000000004,10.0
2.6305292418831216,0.011515898359502851,6.0,2.0,1.3,0.02,0.001,0.06999999999999999,1,1.8,10.0
2.4322394092949087,-0.23313616727128839,8.0,1.5,1.3,0.08,0.0005,0.01,1,1.8,10.0
5.090638987754342,0.17095830432032066,6.0,1.0,4.5,0.08,0.0015,0.05,1,1.9000000000000001,10.0
4.618091811982293,0.15781312621966187,7.0,1.0,3.7,0.06,0.001,0.04,1,1.8,10.0
3.2347645481115688,0.027207895043188705,8.0,1.0,2.1,0.08,0.001,0.03,1,0.0,10.0
4.600736827099521,-0.34818017366069703,1.0,1.5,4.5,0.04,0.0015,0.08,1,1.6,10.0
0.0,0.0,4.0,1.0,4.5,0.02,0.0025,0.05,1,0.30000000000000004,10.0
5.116499250412467,0.10300852350050434,4.0,2.0,3.7,0.04,0.002,0.03,1,0.2,10.0
0.0,0.0,4.0,2.0,1.3,0.02,0.0025,0.03,1,1.6,10.0
6.395492337754454,0.4374915350069215,9.0,2.0,3.7,0.02,0.0025,0.060000000000000005,1,0.4,10.0
4.15895560440494,0.10242545549365058,7.0,1.5,2.9000000000000004,0.08,0.001,0.04,1,0.2,10.0
3.3877972017658653,0.001254581242056194,6.0,1.5,2.1,0.04,0.0005,0.04,1,0.8,10.0
1.6071189795802208,-0.060864691965897305,6.0,1.5,0.5,0.04,0.0015,0.060000000000000005,1,1.0,10.0
3.97872507914564,0.10950681098606749,7.0,1.0,2.9000000000000004,0.06,0.0025,0.02,1,0.7000000000000001,10.0
4.60940016006332,0.07825549625837384,4.0,2.0,3.7,0.08,0.0005,0.02,1,1.4000000000000001,10.0
4.356512602338348,-0.06546938021501236,2.0,1.5,3.7,0.04,0.0025,0.04,1,0.6000000000000001,10.0
5.082292178774516,0.07951941313296199,3.0,1.5,4.5,0.06,0.0015,0.060000000000000005,1,1.1,10.0
3.9133423050287774,0.09995047493188432,4.0,1.0,2.9000000000000004,0.02,0.0005,0.06999999999999999,1,1.1,10.0
0.0,0.0,6.0,2.0,2.1,0.02,0.0025,0.02,1,0.7000000000000001,10.0
2.2734542765858454,0.08685649862979865,2.0,2.0,1.3,0.04,0.002,0.02,1,0.0,10.0
4.438773281793387,0.12999242385322513,4.0,2.0,2.9000000000000004,0.02,0.0015,0.06999999999999999,1,1.7000000000000002,10.0
2.4154505368623673,-0.010945108304064553,4.0,2.0,1.3,0.06,0.0015,0.08,1,1.4000000000000001,10.0
4.238791334720384,-0.001392456122022936,2.0,1.0,3.7,0.02,0.0005,0.02,1,1.7000000000000002,10.0
3.214327382384469,-0.0006613995613259374,8.0,1.0,2.1,0.06,0.001,0.060000000000000005,1,1.6,10.0
0.9550240211544688,-0.029606674824810282,1.0,1.0,0.5,0.06,0.0015,0.060000000000000005,1,1.9000000000000001,10.0
5.157280843443161,0.17277192850515263,9.0,1.5,3.7,0.08,0.002,0.05,1,0.0,10.0
6.0666586863651775,0.15409331520617464,7.0,2.0,4.5,0.08,0.0025,0.08,1,0.0,10.0
4.709619096053117,0.1520045705857407,4.0,1.5,3.7,0.04,0.001,0.060000000000000005,1,1.3,10.0
3.5358551583203615,0.06395390046748638,2.0,2.0,2.9000000000000004,0.06,0.0025,0.08,1,1.9000000000000001,10.0
4.786096178659276,0.09509558504901659,2.0,2.0,4.5,0.08,0.002,0.02,1,1.5,10.0
3.5300758054978494,0.048521994094990216,7.0,2.0,2.1,0.06,0.0025,0.08,1,0.4,10.0
0.0,0.0,8.0,1.5,2.1,0.02,0.002,0.05,1,0.8,10.0
2.1776592041933607,-0.12243855024316028,4.0,1.0,1.3,0.08,0.001,0.09,1,1.8,10.0
1.4359795239023483,-0.12283448361814739,9.0,1.0,1.3,0.08,0.0005,0.09,1,1.8,10.0
1.3996465890851009,0.0066467846479580485,1.0,2.0,0.5,0.08,0.002,0.01,1,1.1,10.0
3.3570966694349114,0.0804685709050281,6.0,1.0,2.1,0.02,0.001,0.08,1,0.8,10.0
4.6580716127263395,0.1530937252016161,7.0,1.0,3.7,0.08,0.0025,0.03,1,0.4,10.0
1.6324794187397171,-0.09341341401383509,9.0,1.0,0.5,0.02,0.0005,0.02,1,0.7000000000000001,10.0
3.4253164323520147,-0.06257068621485233,7.0,1.5,2.1,0.06,0.001,0.09,1,0.30000000000000004,10.0
4.179583809802267,-0.09290275979975542,1.0,1.5,3.7,0.02,0.0005,0.01,1,1.1,10.0
6.034565451694914,0.15021293201509883,6.0,1.5,4.5,0.04,0.0015,0.08,1,0.4,10.0
1.690192152616209,-0.02612794575295207,8.0,1.5,0.5,0.02,0.001,0.03,1,0.0,10.0
1.0379122786180601,-0.018133787467435755,7.0,1.5,0.5,0.04,0.0005,0.01,1,1.0,10.0
3.9390412350221915,-0.018272542550046723,4.0,1.0,2.9000000000000004,0.04,0.0025,0.09,1,0.0,10.0
6.027459033579717,0.245227075683659,4.0,1.0,4.5,0.02,0.002,0.05,1,0.9,10.0
1.1191994397384488,-0.025662241294901574,6.0,1.5,0.5,0.06,0.001,0.08,1,0.0,10.0
4.323081530632542,-0.028336610200132516,8.0,1.5,2.9000000000000004,0.06,0.0005,0.04,1,0.6000000000000001,10.0
5.659187797477795,0.04044414865723326,8.0,1.0,4.5,0.04,0.0005,0.09,1,1.5,10.0
2.3549880371401177,-0.025154473902705317,7.0,1.0,1.3,0.06,0.0015,0.06999999999999999,1,1.8,10.0
3.4954478537527964,-0.5398461008410704,9.0,1.0,2.1,0.02,0.002,0.06999999999999999,1,1.2000000000000002,10.0
4.294143534119432,0.10762558500245897,7.0,2.0,2.9000000000000004,0.08,0.001,0.03,1,1.1,10.0
5.761528600360931,0.16130117381501874,7.0,1.5,4.5,0.08,0.0015,0.09,1,0.1,10.0
3.346071908813301,-0.14005855090570707,9.0,2.0,0.5,0.04,0.002,0.09,1,0.2,10.0
5.093867433201811,0.1442274509550011,3.0,1.5,4.5,0.04,0.0005,0.01,1,1.8,10.0
1.6058747793510821,-0.05468707179093166,6.0,1.5,0.5,0.06,0.0015,0.02,1,0.4,10.0
3.2036602363930693,-0.12761078790219885,4.0,2.0,2.1,0.08,0.0005,0.04,1,0.9,10.0
4.3940968922424295,0.1264233835194921,8.0,2.0,2.9000000000000004,0.08,0.002,0.05,1,0.8,10.0
4.426496413925925,0.11582850107261143,8.0,2.0,2.9000000000000004,0.08,0.001,0.01,1,0.0,10.0
4.854885790840519,0.13633713008603576,3.0,1.5,3.7,0.02,0.001,0.04,1,1.5,10.0
4.056000997813305,0.11822554173713191,8.0,1.0,2.9000000000000004,0.04,0.0015,0.01,1,1.9000000000000001,10.0
3.8756818618330646,-0.06961780745284246,1.0,2.0,3.7,0.06,0.002,0.03,1,1.4000000000000001,10.0
5.026774584135128,0.16805476571165465,6.0,1.5,3.7,0.04,0.0015,0.02,1,1.5,10.0
4.285769972656376,0.1565700499719261,3.0,1.5,3.7,0.08,0.001,0.02,1,0.6000000000000001,10.0
1.5999586931574714,-0.05913982286661093,8.0,1.5,0.5,0.08,0.0025,0.03,1,1.2000000000000002,10.0
