time,change,n,m,rho_tor,omega_plasma_kHz,omega_lab_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
1966,100omt,4,18,0.966232759,55.73352798,71.62163999,-0.016102415,14.29204683,0.36125598,66.88359128,82.77170329,3.95290646,0.518775311,1.759099341,3.679776945,0.039897675,0.001080606,0.061476757,1,1.157218971,11.00751513
1966,100omt,2,9,0.966232759,28.5317207,36.4757767,-0.017380005,7.146023417,0.18062799,33.44179564,41.38585164,1.97645323,1.037550621,1.759099341,3.679776945,0.039897675,0.001080606,0.030738379,1,1.157218971,11.00751513
1966,100omt,3,13,0.956076781,37.69336978,49.49513694,-0.057369639,10.65300467,0.269272952,49.32626939,61.12803655,2.915246104,0.491695543,1.759099341,3.630268258,0.045753082,0.001565103,0.051920989,1,-1.7240201,11.00751513
1966,100omt,8,35,0.958740644,105.6470701,137.2689779,-0.08524559,28.75117246,0.726735162,133.8857592,165.507667,7.912820955,0.199753646,1.759099341,3.656706067,0.043254039,0.001434568,0.134690906,1,-0.968285262,11.00751513
1966,100omt,5,22,0.960322313,65.79009666,85.5857067,-0.091846477,18.05618398,0.456400998,84.26103496,104.056645,4.979935782,0.336227299,1.759099341,3.666602591,0.041654645,0.001357734,0.08271395,1,-0.519567701,11.00751513
1966,100omt,7,31,0.962070473,91.15150819,118.9040041,-0.09363442,25.33770542,0.640453932,118.434234,146.1867299,6.999615893,0.254713174,1.759099341,3.674228861,0.039879769,0.0012738,0.113444354,1,-0.023616714,11.00751513
1966,100omt,6,26,0.956076781,75.76406567,99.3676,-0.10313775,21.30600934,0.538545903,98.65253877,122.2560731,5.830492208,0.245847771,1.759099341,3.630268258,0.045753082,0.001565103,0.103841978,1,-1.7240201,11.00751513
1966,100omt,6,27,0.966232759,77.14614926,100.9783173,-0.108108905,21.43807025,0.541883969,100.3253869,124.1575549,5.92935969,0.345850207,1.759099341,3.679776945,0.039897675,0.001080606,0.092215136,1,1.157218971,11.00751513
1966,100omt,8,36,0.966232759,99.1176561,130.8938801,-0.24402984,28.58409367,0.722511959,133.7671826,165.5434066,7.90581292,0.259387655,1.759099341,3.679776945,0.039897675,0.001080606,0.122953514,1,1.157218971,11.00751513
1966,100omt,1,5,0.985961994,0,0,-6.3314388,2.504850438,0.063314388,11.2794642,13.9497905,0.666630874,5.061770283,1.759099341,3.503048974,0.061407612,0.000407024,0.011415069,1,6.754380119,11.00751513
1966,100omt,2,10,0.985961994,0,0,-12.6628776,5.009700876,0.126628776,22.55892839,27.89958101,1.333261747,2.530885141,1.759099341,3.503048974,0.061407612,0.000407024,0.022830137,1,6.754380119,11.00751513
1966,100omt,3,14,0.973391891,0,0,-25.17356949,9.959193884,0.251735695,46.27016684,57.23005515,2.734626505,0.929917886,1.759099341,3.645975104,0.046245314,0.000783536,0.04181455,1,3.18825635,11.00751513
1966,100omt,4,17,0.950249581,0,0,-34.11546428,13.49679565,0.341154643,61.37974547,76.71463781,3.627622078,0.316540956,1.759099341,3.547727259,0.050978363,0.001849795,0.072926366,1,-3.377190059,11.00751513
1966,100omt,5,23,0.970894519,0,0,-43.35856006,17.15355887,0.433585601,79.97815219,98.90987964,4.72681189,0.500928336,1.759099341,3.662481577,0.045961826,0.000881043,0.072142951,1,2.479754939,11.00751513
1966,100omt,7,32,0.969729079,0,0,-61.47074654,24.31912102,0.614707465,113.5442079,140.5140184,6.710609048,0.340794383,1.759099341,3.668927293,0.044140127,0.000928917,0.102621717,1,2.149120947,11.00751513
1966,120omt,2,9,0.966232759,33.01951017,40.96356617,-0.033354544,7.146023417,0.18062799,33.44179564,41.38585164,1.97645323,1.037550621,1.759099341,4.415732334,0.039897675,0.001080606,0.030738379,1,1.157218971,11.00751513
1966,120omt,3,13,0.956076781,45.57826723,57.38003439,-0.08298085,10.65300467,0.269272952,49.32626939,61.12803655,2.915246104,0.491695543,1.759099341,4.35632191,0.045753082,0.001565103,0.051920989,1,-1.7240201,11.00751513
1966,120omt,5,22,0.960322313,79.49217227,99.28778231,-0.089497918,18.05618398,0.456400998,84.26103496,104.056645,4.979935782,0.336227299,1.759099341,4.399923109,0.041654645,0.001357734,0.08271395,1,-0.519567701,11.00751513
1966,120omt,4,18,0.966232759,60.37415851,76.26227052,-0.130840955,14.29204683,0.36125598,66.88359128,82.77170329,3.95290646,0.518775311,1.759099341,4.415732334,0.039897675,0.001080606,0.061476757,1,1.157218971,11.00751513
1966,120omt,1,5,0.985961994,0,2.6703263,-6.3314388,2.504850438,0.063314388,11.2794642,13.9497905,0.666630874,5.061770283,1.759099341,4.203658769,0.061407612,0.000407024,0.011415069,1,6.754380119,11.00751513
1966,120omt,2,10,0.985961994,0,5.34065262,-12.6628776,5.009700876,0.126628776,22.55892839,27.89958101,1.333261747,2.530885141,1.759099341,4.203658769,0.061407612,0.000407024,0.022830137,1,6.754380119,11.00751513
1966,120omt,3,14,0.973391891,0,10.95988831,-25.1735695,9.959193884,0.251735695,46.27016684,57.23005515,2.734626505,0.929917886,1.759099341,4.375170125,0.046245314,0.000783536,0.04181455,1,3.18825635,11.00751513
1966,120omt,5,23,0.970894519,0,18.93172745,-43.3585601,17.15355887,0.433585601,79.97815219,98.90987964,4.72681189,0.500928336,1.759099341,4.394977893,0.045961826,0.000881043,0.072142951,1,2.479754939,11.00751513
1966,120omt,4,17,0.950249581,0,15.33489234,-34.1154643,13.49679565,0.341154643,61.37974547,76.71463781,3.627622078,0.316540956,1.759099341,4.25727271,0.050978363,0.001849795,0.072926366,1,-3.377190059,11.00751513
,,2,9,0.966232759,29.05185359,36.99590959,-0.021165969,7.146023417,0.18062799,33.44179564,41.38585164,1.97645323,1.037550621,1.759099341,3.630268258,0.03191814,0.001080606,0.030738379,1,1.157218971,11.00751513
,,4,18,0.966232759,43.68900444,59.57711645,-0.066060715,14.29204683,0.36125598,66.88359128,82.77170329,3.95290646,0.518775311,1.759099341,2.802439179,0.039897675,0.001080606,0.061476757,1,1.157218971,11.00751513
,,2,9,0.966232759,23.93389704,31.87795304,-0.00431407,7.146023417,0.18062799,33.44179564,41.38585164,1.97645323,1.037550621,1.759099341,2.904214607,0.039897675,0.001080606,0.030738379,1,1.157218971,11.00751513
,,3,13,0.956076781,32.52675549,44.32852265,-0.039456669,10.65300467,0.269272952,49.32626939,61.12803655,2.915246104,0.491695543,1.759099341,2.943821556,0.045753082,0.001565103,0.051920989,1,-1.7240201,11.00751513
